序号,城市,区,名称,地址,电话,营业时间,配套设施,室内,室外,硬地,红土,草地
22,北京,大兴,得乐网球(西罗园网球场),西罗园路与南三环中路辅路交叉口北220,18518533633,周一至周日 08:00-22:00,,0,4,,,
23,北京,大兴,Prime Tennis铂金网球,北京市大兴区全季酒店育乐网球大兴荟聚店育乐网球(大兴荟聚店),18513391826,周一至周日 08:00-22:00,,2,0,,,
24,北京,大兴,趣打网球(室内店),博兴八路13号>,13141254222,周一至周日 24小时营业,"有淋浴间
无烟环境
有休息区
空调开放
有卫生间",2,0,,,
25,北京,大兴,毅思趣网球俱乐部(维恩堡店,旧宫镇科技路一号,小程序,周一至周日 06:00-23:00,"有休息区
无烟环境",0,1,,,
26,北京,大兴,越动网球俱乐部,旧宫镇隆德路1号逸龙星体育公园内>,没有,周一至周日 08:00-22:00,,0,1,,,
27,北京,大兴,OPeNSTAR网球俱乐部,南四环东路城外诚家居广场3层,15801360082,周一至周日 09:00-22:00,,2,0,,,
28,北京,大兴,旺兴湖网球俱乐部,庑殿路15号(成和园小区正门南侧),18514777108,营业中 07:00-22:00 ,,3,2,,,
29,北京,大兴,永承国际网球俱乐部,兴盛工业园同济中路7号5号楼,13436818284,营业中 07:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",2,0,,,
30,北京,大兴,未来一号网球羽毛球篮球体育公园(亦庄店,兴盛街与永昌东二路交叉口东南200米,19913233846,周一至周日 24小时营业,24小时,1,0,,,
31,北京,大兴,蓝星网球室内俱乐部,东马路99号玉华林玻璃城内,15117900863,周一至周日 08:00-23:00,"有休息区
有卫生间
空调开放
免费点心
器材租赁",2,0,,,
32,北京,大兴,未来壹号红土网球运动中心(,隆华路与旧忠路交叉口西140米,13811966927,周一至周日 24小时营业,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放
24小时",4,0,,,
33,北京,昌平,得乐网球培训,4号线高米店南,13911529021,周一至周日 08:00-22:00,,0,3,,,
34,北京,昌平,正赛嘉篮球俱乐部,13号线回龙观,18601245330,营业中 08:00-22:00,"有休息区
有卫生间
无烟环境
空调开放",3,0,,,
35,北京,昌平,回龙观体育公园-网球场,回龙观体育文化公园西门东45米,13522591911,营业中 08:00-22:00,,0,4,,,
36,北京,昌平,九华国际运动中心,小汤山沙顺路75号九华国际会展中心C座,15810493657,周一至周日 09:00-21:00,,24,0,,,
37,北京,昌平,馨朗界(奥北)网球俱乐部,北京市昌平区王府花园网球场,370880858,营业中 08:00-22:00,有休息区,0,2,,,
38,北京,昌平,乐动力回龙观体育中心,"13号线回龙观
836米",18601245330,营业中 08:00-22:00,,3,0,,,
39,北京,昌平,挥悦网球,西三旗北路新康园-3期12号楼底商2层,18611728146,营业中 07:00-22:00,,8,2,,,
40,北京,昌平,拓能壹加网球俱乐部,北三环东路甲6号格兰云天大酒店2幢1层,18270863563,周一至周日 07:00-22:00,,0,3,,,
41,北京,昌平,上东体育中心·网球篮球足球匹,太平庄中街与42公里绿道交叉口东120米,15910820335,周一至周日 07:00-23:00,,0,23,,,
42,北京,昌平,埃德网球俱乐部(,东升科技园路与西小口路交叉口南行30米西侧停车场进门右边 >,13021235627,周一至周日 07:00-23:30,,4,1,,,
43,北京,昌平,干行网球学院,昌平路碧水庄园14号碧水网球>,没接电话,周一至周日 08:00-23:00,"有淋浴间
无烟环境",1,0,,,
44,北京,昌平,龙域网球场,龙域中心A座龙域网球场>,18811100567,周一至周日 07:00-22:00,,0,2,,,
45,北京,通州,得乐网球·北关网球馆,迪帆国际幼儿园东南1门旁,13911980705,营业中 08:00-22:00,,4,0,,,
46,北京,通州,大运河森林公园网球场,云帆路大运河庙停车场北230米,1910623151,营业中 06:00-22:00,,0,3,,,
47,北京,通州,网之乐网球俱乐部,杨庄西果园甲156号机动车检测场园区内,13973101547,营业中 06:00-24:00,,0,2,,,
48,北京,通州,金徽北京网球中心,嘉创五路3号院,15910799775,营业中 07:00-23:00,,3,0,,,
49,北京,东城,X·D不被定义网球(77文创园店),77文929.1号楼4层天台,13520076777,周一至周日 08:00-22:00,,0,1,,,
50,北京,东城,北京体育馆,体育馆路甲2号,官方小程序预约:网动体育,,,1,0,,,
51,北京,东城,XD不被定义网球馆(龙潭湖体育馆),左安门内大街59号(龙潭湖体育馆内),13241777400,周一至周日 09:00-22:00,"寄存柜
更衣室
暖气",1,0,,,
52,北京,东城,龙潭中湖公园-网球场,龙潭路甲1号龙潭中湖公园(南侧,13241777400,营业中 09:00-22:00,,1,1,,,
53,北京,东城,天坛体育活动中心网球馆,天坛东路13号天坛体育中心,18801268701,营业中 08:00-22:00 ,,4,0,,,
54,北京,东城,国家体育总局新网球馆,天坛东路50号,1830207837,营业中 06:00-24:00 ,,0,4,,,
55,北京,西城,广安网球天地,登莱胡同26号(中国消防救援旁)>,83513492,周一至周日 07:00-22:00,,2,0,,,
56,北京,西城,康乐特·雨露润泽网球俱乐部,城南街道中关村科技园区昌平园白浮泉路18号,15313713993,营业中 06:00-24:00,,2,0,,,
57,北京,石景山,万商网球馆,银河大街1号>,18510408282,周一至周日 08:00-22:00,,4,0,,,
58,北京,石景山,万商网球馆,金顶山路33号翠源山庄北京铁路职工培训中心,15810153853,周一至周日 08:00-22:00,,1,0,,,
59,北京,石景山,网动网球(泰然体育中心校区),兴悦路与城通街交叉口西南60米,18511007656,周一至周日 08:00-22:00,,2,0,,,
60,北京,石景山,京西大本营网球馆,橘龄此渙急г叭謬钵次桥北路冬奥公园马拉松大本营>,官方小程序预约:京西大本营,周一至周日 08:00-22:00,,7,0,,,
61,北京,朝阳,优瑭网球馆,东窑村525号-金盏国际体育小镇-,18601909068,营业中 07:00-23:00,"寄存柜
暖气",6,0,,,
62,北京,朝阳,权景网球培训学院,顺白路28号一号地国际艺术区D区(近一号地园区南门),18801313197,周一至周日 08:00-23:00,,1,0,,,
63,北京,朝阳,保利朝林A8网球馆,崔各庄机场辅路122号保利朝林文创园A-8馆),15210200960,营业中 07:00-23:00 ,,1,0,,,
64,北京,朝阳,合拍网球培训(金盏店),机场辅路东营村123号,15001029667,营业中 07:00-23:00,有卫生间,5,0,,,
65,北京,朝阳,动之光网球场(浩华文创园店),观唐东路5号院浩华文创园,18513391826,周一至周日 06:00-22:00,,0,6,,,
66,北京,朝阳,动之光·宏昌竣网球馆,来广营东路88号(宏昌竣体育公园内),18513391826,周一至周日 06:00-次日24:00,,7,0,,,
67,北京,朝阳,No996红土网球场,将台地区崔各庄地区南影路9号中国电影博物馆西南角,13129881836,周一至周日 06:00-次日24:00,"有淋浴间
有休息区
有卫生间
空调开放",0,2,,,
68,北京,朝阳,"GogoSwing新生网球培训
匹克球(望京店)",来广营北路一号院内(天来运停车场),15611061928,营业中 06:00-22:00,,0,2,,,
69,北京,朝阳,中体一方网球培训,广渠东路2号,13810304274, 周一至周日 07:00-次日24:00,"有休息区
有卫生间
无烟环境
空调开放",4,6,,,
70,北京,朝阳,得乐网球培训(大鲁店),"海丰宝物流园 >
距马家湾湿地公园290m",13910283357,营业中 08:00-22:00,"有储物柜
有休息区
有卫生间
无烟环境",4,0,,,
71,北京,朝阳,匠心之轮国际网球中心,黑庄户地区郎辛庄村北万通路2号(扬州水乡青青家园会所富力又一城旁),jiangxinzhilun,周一至周日 08:00-22:00,,3,13,,,
72,北京,朝阳,RTG国际网球俱乐部(朝阳大悦城,"东五环住总塘悦影视小镇一号库)
距中国传媒大学步行1.5km",13141231229,周一至周日 09:00-22:00,"有储物柜
有卫生间
无烟环境
空调开放",2,0,,,
73,北京,朝阳,杰瑞网球俱乐部(甘露园店),八里庄街道朝阳北路112-15号(青年路地铁站B东北口步行340米)>,没接电话,营业中 07:00-21:00,"有休息区
有卫生间
无烟环境",0,1,,,
74,北京,朝阳,一名网球馆,"双桥路6号院>
距宇宙影视基地步行840m",没接电话,周一至周日 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",2,0,,,
75,北京,朝阳,RTG国际网球俱乐部(安家校区),"东坝地区醉公坟甲5号21栋二层
距地铁姚家园站C口步行970m",13141231229,营业中 07:00-22:00,"有休息区
有卫生间
无烟环境
空调开放",3,0,,,
76,北京,朝阳,得乐网球培训(东坝店),"朝运街红松园26号院>
距铁十六局东站公交站50m",13911529021,营业中 08:00-22:00,"有卫生间
无烟环境",0,2,,,
77,北京,朝阳,朝阳体育中心,"姚家园路77号>
距地铁姚家园站C口步行540m",朝阳体育中心,周一至周日10:00-22:00,,4,20,,,
78,北京,朝阳,浩生体育网球俱乐部(东风9号店),东风南路与朝阳站西路交汇处 >,18510053505,营业中 06:00-24:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区",0,4,,,
79,北京,朝阳,"象果网球ECORN TENNIS PA

",观音堂社区夏日文化广场北侧 >,17611257677,营业中 06:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",0,14,,,
80,北京,朝阳,柠远体育网球Lifetime Sports Tennis(匠心之轮店),"郎辛庄路1号匠心之轮国际网球中心内>
距地铁7号线郎辛庄站B东北口步行670m",16619753602,周一至周日 08:00-22:00,,3,0,,,
81,北京,朝阳,艾锐斯体育小镇,"恒泰大厦东50米 >
距地铁6号线十里堡地铁站出口550m",得了小程序,"周一至周五 08:00-22:00
周六,周日 08:30-22:00",,0,13,,,
82,北京,朝阳,艾锐斯网球Ares tennis(国网校区,奥运村街道林萃路国家网球中心k区),得了小程序,营业中 08:00-23:00,,0,1,,,
83,北京,朝阳,燃动网球培训(朝阳大悦城,"晨光家园b区北43米>
距地铁十里堡站B东北口步行1.1km",19331632563,营业中 24小时营业,"有休息区
有卫生间
无烟环境",1,0,,,
84,北京,朝阳,海伦网球俱乐部,石佛营路1号院内晨光家园北侧,18618224280,营业时间 8:00-22:00,,0,4,,,
85,北京,朝阳,乐球网球场(百子湾店),广百东路百子湾公共汽车站西门旁(No Ping Park陆冲滑板公园)>,15711271503,周一至周日 07:00-23:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区",1,5,,,
86,北京,朝阳,北京超感网球俱乐部,平房乡平房北街135号鼎新科技产业园内,18710285961,营业中 09:00-21:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区",1,1,,,
87,北京,朝阳,Vita网球匹克球·酷爱(赛洛城店),南磨房地区沿海赛洛城321号楼北侧运动公园>,13341135683,营业中 07:00-22:00,"有淋浴间
有储物柜
有休息区",0,2,,,
88,北京,朝阳,动之光·大望路网球馆,百子湾路29号院西院2层,18310770105,营业中 08:00-24:00,,3,0,,,
89,北京,朝阳,得乐网球培训,石佛营路十里堡北里一号>,13051138521,营业中 08:00-22:00,"有休息区
无烟环境",0,13,,,
90,北京,朝阳,OPeN STAR网球俱乐部(星河湾店),四季星河南街星河湾酒店东侧 >,15313833680,营业中 08:00-22:00,,0,2,,,
91,北京,朝阳,齐动力网球(老山基地),老山西街5号>,010-57983688,营业中 08:00-20:00,,2,0,,,
92,北京,朝阳,启晨体育潞城全民健身中心网球馆,全民健身中心三层网球馆>,18614068548,营业中 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",0,1,,,
93,北京,朝阳,浩生网球俱乐部,驼房营路甲1号,15810553505,营业中 10:00-21:00,"有休息区
有卫生间
空调开放",4,0,,,
94,北京,朝阳,PadelOne板式网球匹克球,酒仙桥北路9号恒通国际创新园>,18610140996,周一至周日 07:00-22:00,,0,2,,,
95,北京,朝阳,银橄榄网球场,亮马桥路40号>,64664824,周一至周日 07:00-22:00,"寄存柜
更衣室",0,4,,,
96,北京,朝阳,K·TENNIS克拉网球玩家俱乐部,四元桥购物中心四楼(顶楼停车场),15110108801,营业中 07:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",4,0,,,
97,北京,朝阳,郑洁网球汇(国贸店),景恒街CBD文化体育广场内(国贸地铁站D西南口步行460米)>,17276422528,周一至周日 07:00-22:00,,0,2,,,
98,北京,朝阳,得乐网球培训(欢乐谷网球场店),周家庄村111号>,13911529021,营业中 08:00-22:00,"有休息区
有卫生间
无烟环境",0,1,,,
99,北京,朝阳,汐润网球俱乐部(,昌平路202号碧水庄园北区(,18500058520,周一至周日 06:00-23:00,,3,0,,,
100,北京,朝阳,得乐网球(锦绣园网球场),幸福村中路15号锦绣园公寓D座锦绣园游泳健身俱乐部3层>,13911529021,周一至周日 09:00-20:00,,0,1,,,
101,北京,朝阳,NEXTCHAMP网球俱乐部,幸福村中路15号锦绣园公寓D座锦绣园游泳健身俱乐部3层>,NEXTCHAMP小程序,周一至周日 07:00-23:00,"有淋浴间
有卫生间
无烟环境",1,0,,,
102,北京,朝阳,权景网球培训学院,顺白路28号一号地国际艺术区D区(近一号地园区南门),18801313197,周一至周日 08:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",6,0,,,
103,北京,朝阳,齐动力网球(分钟寺基地),小红门路312号龙爪树宾馆院内综合楼二楼,57983688,,,1,0,,,
104,北京,朝阳,柏林瀚网球馆(望京店),柏林瀚网球馆(望京店),13911599086,周一至周日 07:00-22:00,"寄存柜
更衣室
暖气",2,0,,,
105,北京,朝阳,朝阳公园网球中心,朝阳公园南路1号,65918383,春、夏、秋季:7:00-22:00;冬季:8:00-21:00,,0,11,,,
106,北京,朝阳,Hilit高光匹克球&网球,太阳宫体育休闲公园内,13552020415,周一至周日 06:00-22:00,,0,1,,,
107,北京,朝阳,国家网球中心培训,国家网球中心气膜馆A场 ,网球订场, 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",1,0,,,
108,北京,朝阳,新网网球培训(北京会议中心校区),来广营西路88号别墅区8栋,新网网球,周一至周日 06:00-23:00,,0,2,,,
109,北京,朝阳,OPeNSTAR网球俱乐部,南四环东路城外诚家居广场3层 >,15801360082,周一至周日 09:00-22:00,,2,0,,,
110,北京,朝阳,"温菲尔德网球学院(中关村校
X",中关村辽宁大厦院内足球场西侧>,温菲尔德,周一至周日 06:00-22:00,"有卫生间
无烟环境",0,1,,,
111,北京,朝阳,温菲尔德网球俱乐部,北京市海淀区阜石路踢球者田村山体育公园内,温菲尔德,周一至周日 06:00-22:00,,0,2,,,
112,北京,朝阳,国奥多打网球俱乐部,奥体中心网球馆,18510818266,营业中 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",2,0,,,
113,北京,朝阳,郑洁网球汇(分钟寺店),龙爪树路312号龙爪树宾馆综合楼二楼>,郑洁网球,营业中 07:00-22:00,,1,0,,,
114,北京,朝阳,北京温榆河公园-网球中心,温榆河公园(东南角),82754334,营业中一周到周五 08:00-17:00,,0,19,,,
115,北京,朝阳,齐动力网球(老山基地)铜,老山西街5号>,57983688,营业中一周到周五 08:00-20:00,"更衣室
暖气",1,0,,,
116,北京,朝阳,网动网球培训(亚运村校区),外国专家大厦 >,网动体育,营业中 08:00-22:00,,0,2,,,
117,北京,朝阳,拓能壹加网球基地,西坝河南路3号浩鸿园小区内(南门进入),18270863563,营业中 06:00-22:00,,0,1,,,
118,北京,朝阳,国家网球中心,,67211557、67211558北京网球管理中心,值得深入研究,,1,0,,,
119,北京,朝阳,中体一方网球培训,姚家园路77号,中体一方,营业中 07:00-次日02:00,"有淋浴间
卫生间
无烟环境",0,4,,,
120,北京,朝阳,网动天地东坝训练基地,网动天地东坝训练基地,网动天地,周一至周日 24小时营业,,0,1,,,
121,北京,朝阳,奥体网球场,北京市 朝阳区 北四环中路出口与北四环中路交叉口东南180米,国家奥体中心,值得深入研究,,1,0,,,
122,北京,朝阳,动之光番茄甜网球场,建国路10号(巴学园幼儿园内),动之光,营业中 06:00-22:00 ,,0,1,,,
123,北京,朝阳,XD不被定义体育公园,六里屯路红领巾公园西园运动场>,19520376778,周一至周日 06:00-22:00,,0,4,,,
124,北京,朝阳,启晨体育网球(奥森店),北辰西路国奥村东区东侧约90米,13011010023,周一至周日 10:00-22:00,,0,2,,,
125,北京,朝阳,网动天地网球俱乐部,新勇路与顾家庄北大街交叉口西南50米,18001335269,周一至周日 08:00-22:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区",3,0,,,
126,北京,朝阳,烁动网球(六里桥丽泽自建校区),西三环六里桥地铁站E口东20米,13716769987,周一至周日 09:00-22:00,,2,0,,,
127,北京,朝阳,烁动网球(六里桥丽泽自建校区),看丹街道樊羊路51号慧谷国际中心3号楼B1层128号,15611755869,周一至周日 09:00-22:00,,2,0,,,
128,北京,海淀区,芳草荟网球(长春桥店),厂洼西街18号,13141122614,7:00-23:00,"淋浴
休息区
免费停车",0,1,,,
129,北京,海淀区,灵动网球（世纪金源店）,板井路69号北京世纪金源大饭店,13810886792,08:00-22:00,"休息区
饮品售卖",2,0,,,
130,北京,海淀区,海淀公园网球场,海淀公园足球网球运动场,小程序预约（海淀公园体育中心）,7:00-16:00,"公共卫生间
休息长椅",0,10,,,
131,北京,海淀区,网动体育 车道沟校区,网动网球公园,小程序预约（网动体育）,8:00-21:30,"免费停车
休息区",0,9,,,
132,北京,海淀区,艾锐斯网球（知春路）,大成仓艾锐斯体育公园,小程序预约（艾锐斯网球）,9:00-22:00,"淋浴
储物柜
饮品区",4,0,,,
133,北京,海淀区,北京科技大学求实气膜网球馆,学院路30号科技大学求实气膜网球馆,小程序预约（求实网球馆）,9:00-22:00,"淋浴
休息区
免费停车",8,2,,,
134,北京,海淀区,烁动网球（五棵松定慧自建店）,定慧产业园区内摄影器材城东侧,小程序预约（烁动网球）17820777721,9:00-22:00,"休息区
免费停车",0,2,,,
135,北京,海淀区,魅力飞扬网球俱乐部（中海雅园店）,海淀区板井路69号中海雅园小区内,13520668877,8:30-21:30,"休息区
饮品售卖",1,2,,,
136,北京,海淀区,埃德网球俱乐部（东升汇校区）,海淀区东升镇东升汇体育公园内,13693367789,9:00-22:00,"淋浴
储物柜
免费停车",3,5,,,
137,北京,海淀区,得乐网球（永定路店）,海淀区永定路88号院,13811889900,8:00-21:00,"休息长椅
公共卫生间",0,4,,,
138,北京,海淀区,泰内斯网球俱乐部（五棵松校区）,复兴路69号hipark多功能厅二楼网球场,17800296123,9:00-22:00,"淋浴
休息区
饮品售卖",0,2,,,
139,北京,海淀区,YYDS网球俱乐部,海淀区上地十街10号,13718886622,8:30-21:30,"免费停车
休息区",1,2,,,
140,北京,海淀区,绿豆网球俱乐部（泰山店）,海淀区泰山路8号,13488887766,9:00-22:00,"储物柜
饮品售卖",0,3,,,
141,北京,海淀区,至清网球运动中心,青龙桥街道魔动空间气膜馆,13269998855,6:00-23:00,"公共卫生间
休息区",0,4,,,
142,北京,海淀区,温菲尔德网球俱乐部（田村山馆）,海淀区田村山体育中心内,13120009933,8:00-22:00,"淋浴
免费停车
休息区",3,6,,,
143,北京,海淀区,网动网球（世纪金源校区）,海淀区板井路世纪金源购物中心北侧,小程序预约（网动体育）,8:00-22:00,"休息区
饮品售卖",1,3,,,
144,北京,海淀区,网动网球（鲁迅文化中心校区）,海淀区花园路鲁迅文化中心内,小程序预约（网动体育）,8:00-22:00,"休息长椅
储物柜",0,4,,,
145,北京,海淀区,木叶网球俱乐部,宝盛东路甲3号,13691357207,8:00-22:00,"免费停车
饮品区",0,6,,,
146,北京,海淀区,迪佳网球俱乐部,万柳中路6号院1号楼,62681313,8:00-22:00,"淋浴
储物柜
免费停车",4,0,,,
147,北京,海淀区,北京曙光时尚网球俱乐部,板井路正福寺19号,13911118877,7:30-21:30,"休息区
饮品售卖",0,5,,,
148,北京,海淀区,温菲尔德网球俱乐部（中关村馆）,海淀区中关村辽宁大厦内足球场西侧,13161119933,8:00-22:00,"淋浴
免费停车
储物柜",0,3,,,
149,上海,崇明区,上海崇明前卫红土网球中心,竖新镇前卫村前卫生态村内,,,,6,1,0,7,0
150,上海,崇明区,唛恩·林旅崇明怡沁园网球场,崇明北沿公路2089号怡沁园度假酒店,,,,0,2,2,0,0
151,上海,崇明区,东平镇前进文化中心,东平镇东冉路886号,,,,0,1,1,0,0
152,上海,崇明区,崇明区人民体育场,北门路88号,,,,0,1,1,0,0
153,上海,崇明区,堡镇社区市民健身中心,堡镇南路269号,,,,0,1,1,0,0
154,上海,金山区,鑫港湾公共运动场,月工路888号,,,,0,1,1,0,0
155,上海,金山区,金山体育中心,杭州湾大道4100号,,,,0,1,1,0,0
156,上海,金山区,起道体育·青笠网球俱乐部(学府路店),学府路1283弄88号,,,,0,1,1,0,0
157,上海,金山区,起道体育·青笠网球俱乐部(卫清东路店),卫清东路2228号第二栋,,,,1,0,1,0,0
158,上海,金山区,思迈网球俱乐部,山鑫阳光城5号门旁,,,,1,0,1,0,0
159,上海,金山区,新城路市民运动场,石化街道新城路98号,,,,0,1,1,0,0
160,上海,金山区,金山区社会体育管理中心,合浦路147号,,,,0,2,2,0,0
161,上海,金山区,金山体育馆(朱泾镇市民健身中心),朱泾镇健康南路333号,,,,0,1,1,0,0
162,上海,奉贤区,超越·阳光草地网球中心,江海村南庄路,,,,0,18,0,0,18
163,上海,奉贤区,超越体育网球俱乐部・奉贤体育中心,南桥镇古华路100号,,,,5,0,2,0,3
164,上海,奉贤区,甜区网球·奉贤店,南桥镇南桥路839号22-1幢,,,,3,0,2,0,1
165,上海,奉贤区,司赢网球俱乐部(天翼球馆),南桥路868号E栋二楼,,,,2,0,0,0,2
166,上海,奉贤区,司赢网球俱乐部(天空球场),南桥路868号A栋三楼,,,,2,2,2,0,2
167,上海,奉贤区,乐动力·临港足球综合运动中心,承贤路与书桂路交叉口西100米,,,,1,0,0,0,1
168,上海,浦东新区,临港黄日网球中心,紫荆花路88号附近,,,,2,0,0,0,2
169,上海,浦东新区,乐动力·临港黄日网球中心(辉华),紫荆花路与橄榄路交叉口西北220米,,,,0,2,0,0,2
170,上海,浦东新区,乐动力·临港绿丽网羽中心,南汇新城镇环湖西二路960号,,,,2,0,2,0,0
171,上海,浦东新区,乐动力·滴水湖网球热力场,环湖东一路800号,,,,0,4,4,0,0
172,上海,浦东新区,书院镇市民健身中心,丽正路1255号,,,,0,1,1,0,0
173,上海,浦东新区,Jovi Tennis Arena 佳维,惠南镇川南奉公路6101号弘基广场,,,,0,1,1,0,0
174,上海,浦东新区,光圈网球(航头店)·航头体育中心,鹤韵路425号,,,,2,0,2,0,0
175,上海,浦东新区,达晨荣体育中心·宏亦远网球俱乐部,航头镇沪南公路5292号,,,,1,0,1,0,0
176,上海,闵行区,PDT紫色动力国际(火星一号馆),龙吴路5891号火星一号商业广场,,,,1,1,2,0,0
177,上海,闵行区,明越网球俱乐部(永德路店),莲花南路3999弄满天星生活广场,,,,0,1,1,0,0
178,上海,闵行区,乐达恒温球馆-网球(灯辉路),灯辉路1128号,,,,1,0,1,0,0
179,上海,闵行区,凯洛思网球俱乐部,剑川路999号大零号湾科创运动汇,,,,0,1,1,0,0
180,上海,闵行区,明越网球俱乐部(沪闵店),沪闵路1201号,,,,1,0,1,0,0
181,上海,闵行区,凯洛思网球·马桥万达店,富岩路121号1楼马桥万达网球场,,,,0,1,1,0,0
182,上海,闵行区,严明网球·马桥校区,文井路495号A楼楼顶,,,,0,2,2,0,0
183,上海,闵行区,泾彩江川网球俱乐部,鹤庆路788号,,,,0,2,2,0,0
184,上海,闵行区,焱网江川体育活动中心,鹤庆路788号,,,,0,2,2,0,0
185,上海,闵行区,汇友令网球中心,江川路780号8幢101,,,,2,0,2,0,0
186,上海,闵行区,严明网球·碧江校区,碧江南路559号,,,,0,1,1,0,0
187,上海,浦东新区,JOY TENNIS・久逸网球俱乐部,川大路311号,,,,3,0,3,0,0
188,上海,浦东新区,Joy Tennis久逸网球俱乐部(远洋路店),远洋路8号,,,,3,0,3,0,0
189,上海,浦东新区,上海Moore网球,浦东鹿吉路300号,,,,0,2,2,0,0
190,上海,浦东新区,友来网球俱乐部(生态园店),康新公路与汤巷中心村交叉口西北,,,,0,2,2,0,0
191,上海,浦东新区,聚勒勒网球,川周公路3138号康鲤科创园4幢,,,,4,0,4,0,0
192,上海,浦东新区,上海国际医学园区网球中心,广丹路222弄,,,,3,0,3,0,0
193,上海,浦东新区,51磅网球俱乐部,康梧路189号,,,,0,3,3,0,0
194,上海,浦东新区,新星客网球馆,康梧路519号,,,,2,0,2,0,0
195,上海,浦东新区,球上劲网球运动中心(新田360广场店),秀浦路668号新田360广场一楼,,,,0,1,1,0,0
196,上海,浦东新区,友来网球俱乐部(领丰汇店),上南路6717号外广场,,,,2,0,2,0,0
