序号,区域,名称,位置,电话,营业时间,配套设施,室内,室外,场馆照片,,
14,顺义,北京国测国际会议会展中心网球场,汇海南路与鑫桥南路交叉口西北240米,50907998,周一至周日 09:00-21:00,,"室内
4个",,,,
15,顺义,菁苗网球俱乐部(后沙峪校区),铁回路后沙峪开发区南2门,13269237905,周一至周日 08:00-22:00,,"室内
2个",,,,
16,怀柔,童牛小镇体育 ,庙城镇焦高路西头,13426246701,周一至周日 08:00-22:00,"有储物柜
无烟环境
有休息区
空调开放
有卫生间","室内
1个",,,,
17,延庆,世园国际匹克球运动中心,北京世园公园国际馆B馆,13693570451,周一至周日 10:00-12:00 14:00-21:30,,"室内
2个",,,,
18,延庆,梦起源网球馆,湖南东路16号>,13693570451,"10:00-12:00,14:00-21:30",,"室内
2个",,没找到照片,,
19,门头沟,YY 网球运动中心·网球场地·网球,龙泉地区门头沟城子大街西100米九狮壁(北京)体育文化有限公司>,17611176648,周一至周日 08:00-22:00,,,"室外3
个 ",,,
20,房山,网冠网球馆(房山店),房山线良乡大学城西,15790694312,周一至周日 08:00-22:00,,"室内
4个",,,,
21,房山,拱辰街道体育馆,于管营村委会西190米>,没接电话,周一至周日 08:00-22:00,,,,,,
22,大兴,得乐网球(西罗园网球场),西罗园路与南三环中路辅路交叉口北220,18518533633,周一至周日 08:00-22:00,,,"室外4
个 ",,,
23,大兴,Prime Tennis铂金网球,北京市大兴区全季酒店育乐网球大兴荟聚店育乐网球(大兴荟聚店),18513391826,周一至周日 08:00-22:00,,"室内
2个",,,,
24,大兴,趣打网球(室内店),博兴八路13号>,13141254222,周一至周日 24小时营业,"有淋浴间
无烟环境
有休息区
空调开放
有卫生间","室内
2个",,,,
25,大兴,毅思趣网球俱乐部(维恩堡店,旧宫镇科技路一号,小程序,周一至周日 06:00-23:00,"有休息区
无烟环境",,,,,
26,大兴,越动网球俱乐部,旧宫镇隆德路1号逸龙星体育公园内>,没有,周一至周日 08:00-22:00,,,,,,
27,大兴,OPeNSTAR网球俱乐部,南四环东路城外诚家居广场3层,15801360082,周一至周日 09:00-22:00,,"室内
2个",,,,
28,大兴,旺兴湖网球俱乐部,庑殿路15号(成和园小区正门南侧),18514777108,营业中 07:00-22:00 ,,"室内
3个","室外2
个 ",,,
29,大兴,永承国际网球俱乐部,兴盛工业园同济中路7号5号楼,13436818284,营业中 07:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
2个",,,,
30,大兴,未来一号网球羽毛球篮球体育公园(亦庄店,兴盛街与永昌东二路交叉口东南200米,19913233846,周一至周日 24小时营业,,"室内
1个",,,,
31,大兴,蓝星网球室内俱乐部,东马路99号玉华林玻璃城内,15117900863,周一至周日 08:00-23:00,"有休息区
有卫生间
空调开放免费点心
免费茶水
器材租赁
可预订场地","室内
2个",,,,
32,大兴,未来壹号红土网球运动中心(,隆华路与旧忠路交叉口西140米,13811966927,周一至周日 24小时营业,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
4个",,,,
33,昌平,得乐网球培训,4号线高米店南,13911529021,周一至周日 08:00-22:00,,,"室外
3个",,,
34,昌平,正赛嘉篮球俱乐部,13号线回龙观,18601245330,营业中 08:00-22:00,"有休息区
有卫生间
无烟环境
空调开放","室内
3个",,,,
35,昌平,回龙观体育公园-网球场,回龙观体育文化公园西门东45米,13522591911,营业中 08:00-22:00,,,"室外
4个",,,
36,昌平,九华国际运动中心,小汤山沙顺路75号九华国际会展中心C座,15810493657,周一至周日 09:00-21:00,,"室内
24个",,,,
37,昌平,馨朗界(奥北)网球俱乐部,北京市昌平区王府花园网球场,370880858,营业中 08:00-22:00,有休息区,,"室外
2个",,,
38,昌平,乐动力回龙观体育中心,"13号线回龙观
836米",18601245330,营业中 08:00-22:00,,"室内
3个",,没找到照片,,
39,昌平,挥悦网球,西三旗北路新康园-3期12号楼底商2层,18611728146,营业中 07:00-22:00,,"室内
8个","室外
2个",,,
40,昌平,拓能壹加网球俱乐部,北三环东路甲6号格兰云天大酒店2幢1层,18270863563,周一至周日 07:00-22:00,,,"室内
3个",,,
41,昌平,上东体育中心·网球篮球足球匹,太平庄中街与42公里绿道交叉口东120米,15910820335,周一至周日 07:00-23:00,,,"室外
23个",,,
42,昌平,埃德网球俱乐部(,东升科技园路与西小口路交叉口南行30米西侧停车场进门右边 >,13021235627,周一至周日 07:00-23:30,,"室内
4个","室外
1个",,,
43,昌平,干行网球学院,昌平路碧水庄园14号碧水网球>,没接电话,周一至周日 08:00-23:00,"有淋浴间
无烟环境",,,,,
44,昌平,龙域网球场,龙域中心A座龙域网球场>,18811100567,周一至周日 07:00-22:00,,,"室外
2个",,,
45,通州,得乐网球·北关网球馆,迪帆国际幼儿园东南1门旁,13911980705,营业中 08:00-22:00,,"室内
4个",,,,
46,通州,大运河森林公园网球场,云帆路大运河庙停车场北230米,1910623151,营业中 06:00-22:00,,,"室外
3个",,,
47,通州,网之乐网球俱乐部,杨庄西果园甲156号机动车检测场园区内,13973101547,营业中 06:00-24:00,,,"室外
2个",,,
48,通州,金徽北京网球中心,嘉创五路3号院,15910799775,营业中 07:00-23:00,,"室内
3个",,,,
49,东城,X·D不被定义网球(77文创园店),77文929.1号楼4层天台,13520076777,周一至周日 08:00-22:00,,,"室外
1个",,,
50,东城,北京体育馆,体育馆路甲2号,官方小程序预约:网动体育,,,,,,,
51,东城,XD不被定义网球馆(龙潭湖体育馆),左安门内大街59号(龙潭湖体育馆内),13241777400,周一至周日 09:00-22:00,"寄存柜
更衣室
暖气","室内
1个",,,,
52,东城,龙潭中湖公园-网球场,龙潭路甲1号龙潭中湖公园(南侧,13241777400,营业中 09:00-22:00,,"室内
1个","室外
1个",,,
53,东城,天坛体育活动中心网球馆,天坛东路13号天坛体育中心,18801268701,营业中 08:00-22:00 ,,"室内
4个",,,,
54,东城,国家体育总局新网球馆,天坛东路50号,1830207837,营业中 06:00-24:00 ,,,"室外
4个",,,
55,西城,广安网球天地,登莱胡同26号(中国消防救援旁)>,83513492,周一至周日 07:00-22:00,,"室内
2个",,,,
56,西城,康乐特·雨露润泽网球俱乐部,城南街道中关村科技园区昌平园白浮泉路18号,15313713993,营业中 06:00-24:00,,"室内
2个",,,,
57,石景山,万商网球馆,银河大街1号>,18510408282,周一至周日 08:00-22:00,,"室内
4个",,,,
58,石景山,万商网球馆,金顶山路33号翠源山庄北京铁路职工培训中心,15810153853,周一至周日 08:00-22:00,,"室内
1个",,,,
59,石景山,网动网球(泰然体育中心校区),兴悦路与城通街交叉口西南60米,18511007656,周一至周日 08:00-22:00,,"室内
2个",,,,
60,石景山,京西大本营网球馆,橘龄此渙急г叭謬钵次桥北路冬奥公园马拉松大本营>,官方小程序预约:京西大本营,周一至周日 08:00-22:00,,"室内
6个/1红土",,,,
61,朝阳,优瑭网球馆,东窑村525号-金盏国际体育小镇-,18601909068,营业中 07:00-23:00,"寄存柜
暖气","室内
6个",,,,
62,朝阳,权景网球培训学院,顺白路28号一号地国际艺术区D区(近一号地园区南门),18801313197,周一至周日 08:00-23:00,,回电话,,,,
63,朝阳,保利朝林A8网球馆,崔各庄机场辅路122号保利朝林文创园A-8馆),15210200960,营业中 07:00-23:00 ,,"室内
1个",,,,
64,朝阳,合拍网球培训(金盏店),机场辅路东营村123号,15001029667,营业中 07:00-23:00,有卫生间,"室内
5个",,,,
65,朝阳,动之光网球场(浩华文创园店),观唐东路5号院浩华文创园,18513391826,周一至周日 06:00-22:00,,,"室外
6个",,,
66,朝阳,动之光·宏昌竣网球馆,来广营东路88号(宏昌竣体育公园内),18513391826,周一至周日 06:00-次日24:00,,"室内
7个",,,,
67,朝阳,No996红土网球场,将台地区崔各庄地区南影路9号中国电影博物馆西南角,13129881836,周一至周日 06:00-次日24:00,"有淋浴间
有休息区
有卫生间
空调开放",,"室外
2个",,,
68,朝阳,"GogoSwing新生网球培训
匹克球(望京店)",来广营北路一号院内(天来运停车场),15611061928,营业中 06:00-22:00,,,"室外
2个",,,
69,朝阳,中体一方网球培训,广渠东路2号,13810304274, 周一至周日 07:00-次日24:00,"有休息区
有卫生间
无烟环境
空调开放","室内
4个","室外
6个",,,
70,朝阳,得乐网球培训(大鲁店),"海丰宝物流园 >
距马家湾湿地公园290m",13910283357,营业中 08:00-22:00,"有储物柜
有休息区
有卫生间
无烟环境","室内
4个",,,,
71,朝阳,匠心之轮国际网球中心,黑庄户地区郎辛庄村北万通路2号(扬州水乡青青家园会所富力又一城旁),jiangxinzhilun,周一至周日 08:00-22:00,,"室内
3个","室外
13个",,,
72,朝阳,RTG国际网球俱乐部(朝阳大悦城,"东五环住总塘悦影视小镇一号库)
距中国传媒大学步行1.5km",13141231229,周一至周日 09:00-22:00,"有储物柜
有卫生间
无烟环境
空调开放","室内
2个",,,,
73,朝阳,杰瑞网球俱乐部(甘露园店),八里庄街道朝阳北路112-15号(青年路地铁站B东北口步行340米)>,没接电话,营业中 07:00-21:00,"有休息区
有卫生间
无烟环境",,,,,
74,朝阳,一名网球馆,"双桥路6号院>
距宇宙影视基地步行840m",没接电话,周一至周日 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
2个",,,,
75,朝阳,RTG国际网球俱乐部(安家校区),"东坝地区醉公坟甲5号21栋二层
距地铁姚家园站C口步行970m",13141231229,营业中 07:00-22:00,"有休息区
有卫生间
无烟环境
空调开放","室内
3个",,,,
76,朝阳,得乐网球培训(东坝店),"朝运街红松园26号院>
距铁十六局东站公交站50m",13911529021,营业中 08:00-22:00,"有卫生间
无烟环境",,"室外
2个",,,
77,朝阳,朝阳体育中心,"姚家园路77号>
距地铁姚家园站C口步行540m",朝阳体育中心,周一至周日10:00-22:00,,"室内
4个","室外
20个",,,
78,朝阳,浩生体育网球俱乐部(东风9号店),东风南路与朝阳站西路交汇处 >,18510053505,营业中 06:00-24:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区",,"室外
4个",,,
79,朝阳,"象果网球ECORN TENNIS PA

",观音堂社区夏日文化广场北侧 >,17611257677,营业中 06:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",,"室外
14个",,,
80,朝阳,柠远体育网球Lifetime Sports Tennis(匠心之轮店),"郎辛庄路1号匠心之轮国际网球中心内>
距地铁7号线郎辛庄站B东北口步行670m",16619753602,周一至周日 08:00-22:00,,"室内
3个",,,,
81,朝阳,艾锐斯体育小镇,"恒泰大厦东50米 >
距地铁6号线十里堡地铁站出口550m",得了小程序,"周一至周五 08:00-22:00
周六,周日 08:30-22:00",,,"室外
13个",,,
82,朝阳,艾锐斯网球Ares tennis(国网校区,奥运村街道林萃路国家网球中心k区),得了小程序,营业中 08:00-23:00,,随时更新，无具体数量,,,,
83,朝阳,燃动网球培训(朝阳大悦城,"晨光家园b区北43米>
距地铁十里堡站B东北口步行1.1km",19331632563,营业中 24小时营业,"有休息区
有卫生间
无烟环境","室内
1个",,,,
84,朝阳,海伦网球俱乐部,石佛营路1号院内晨光家园北侧,18618224280,营业时间 8:00-22:00,,,"室外
4个",,,
85,朝阳,乐球网球场(百子湾店),广百东路百子湾公共汽车站西门旁(No Ping Park陆冲滑板公园)>,15711271503,周一至周日 07:00-23:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区","室内
1个","室外
5个",,,
86,朝阳,北京超感网球俱乐部,平房乡平房北街135号鼎新科技产业园内,18710285961,营业中 09:00-21:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区","室内
1个","室外
1个",,,
87,朝阳,Vita网球匹克球·酷爱(赛洛城店),南磨房地区沿海赛洛城321号楼北侧运动公园>,13341135683,营业中 07:00-22:00,"有淋浴间
有储物柜
有休息区",,"室外
2个",,,
88,朝阳,动之光·大望路网球馆,百子湾路29号院西院2层,18310770105,营业中 08:00-24:00,,"室内
3个",,,,
89,朝阳,得乐网球培训,石佛营路十里堡北里一号>,13051138521,营业中 08:00-22:00,"有休息区
无烟环境",,"室外
13个",,,
90,朝阳,OPeN STAR网球俱乐部(星河湾店),四季星河南街星河湾酒店东侧 >,15313833680,营业中 08:00-22:00,,,"室外
2个",,,
91,朝阳,齐动力网球(老山基地),老山西街5号>,010-57983688,营业中 08:00-20:00,,"室内
2个",,,,
92,朝阳,启晨体育潞城全民健身中心网球馆,全民健身中心三层网球馆>,18614068548,营业中 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",,"室外
1个",,,
93,朝阳,浩生网球俱乐部,驼房营路甲1号,15810553505,营业中 10:00-21:00,"有休息区
有卫生间
空调开放","室内
4个",,,,
94,朝阳,PadelOne板式网球匹克球,酒仙桥北路9号恒通国际创新园>,18610140996,周一至周日 07:00-22:00,,,"室外
2个",,,
95,朝阳,银橄榄网球场,亮马桥路40号>,64664824,周一至周日 07:00-22:00,"寄存柜
更衣室",,"室外
4个",,,
96,朝阳,K·TENNIS克拉网球玩家俱乐部,四元桥购物中心四楼(顶楼停车场),15110108801,营业中 07:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
4个",,,,
97,朝阳,郑洁网球汇(国贸店),景恒街CBD文化体育广场内(国贸地铁站D西南口步行460米)>,17276422528,周一至周日 07:00-22:00,,,"室外
2个",,,
98,朝阳,得乐网球培训(欢乐谷网球场店),周家庄村111号>,13911529021,营业中 08:00-22:00,"有休息区
有卫生间
无烟环境",,,,,
99,朝阳,汐润网球俱乐部(,昌平路202号碧水庄园北区(,18500058520,周一至周日 06:00-23:00,,"室内
3个",,,,
100,朝阳,得乐网球(锦绣园网球场),幸福村中路15号锦绣园公寓D座锦绣园游泳健身俱乐部3层>,13911529021,周一至周日 09:00-20:00,,,"室外
1个",,,
101,朝阳,NEXTCHAMP网球俱乐部,幸福村中路15号锦绣园公寓D座锦绣园游泳健身俱乐部3层>,NEXTCHAMP小程序,周一至周日 07:00-23:00,"有淋浴间
有卫生间无烟环境",,,,,
102,朝阳,权景网球培训学院,顺白路28号一号地国际艺术区D区(近一号地园区南门),18801313197,周一至周日 08:00-23:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
6个",,,,
103,朝阳,齐动力网球(分钟寺基地),小红门路312号龙爪树宾馆院内综合楼二楼,57983688,,,,,,,
104,朝阳,柏林瀚网球馆(望京店),柏林瀚网球馆(望京店),13911599086,周一至周日 07:00-22:00,"可开发票
寄存柜
更衣室
暖气","室内
2个",,,,
105,朝阳,朝阳公园网球中心,朝阳公园南路1号,65918383,春、夏、秋季:7:00-22:00;冬季:8:00-21:00,,,"室外
11个",,,
106,朝阳,Hilit高光匹克球&网球,太阳宫体育休闲公园内,13552020415,周一至周日 06:00-22:00,,,"室外
1个",,,
107,朝阳,国家网球中心培训,国家网球中心气膜馆A场 ,网球订场, 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",,,,,
108,朝阳,新网网球培训(北京会议中心校区),来广营西路88号别墅区8栋,新网网球,周一至周日 06:00-23:00,,,"室外
2个",,,
109,朝阳,OPeNSTAR网球俱乐部,南四环东路城外诚家居广场3层 >,15801360082,周一至周日 09:00-22:00,,"室内
2个",,,,
110,朝阳,"温菲尔德网球学院(中关村校
X",中关村辽宁大厦院内足球场西侧>,温菲尔德,周一至周日 06:00-22:00,"有卫生间
无烟环境",,"室外
1个",,,
111,朝阳,北京市海淀区阜石路踢球者田村山体育公园内,温菲尔德网球俱乐部,温菲尔德,周一至周日 06:00-22:00,,,"室外
2个",,,
112,朝阳,国奥多打网球俱乐部,奥体中心网球馆,18510818266,营业中 08:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
2个",,,,
113,朝阳,郑洁网球汇(分钟寺店),龙爪树路312号龙爪树宾馆综合楼二楼>,郑洁网球,营业中 07:00-22:00,,"室内
1个",,,,
114,朝阳,北京温榆河公园-网球中心,温榆河公园(东南角),82754334,营业中一周到周五 08:00-17:00,,,"室外
19个",,,
115,朝阳,齐动力网球(老山基地)铜,老山西街5号>,57983688,营业中一周到周五 08:00-20:00,"更衣室
暖气","室内
1个",,,,
116,朝阳,网动网球培训(亚运村校区),外国专家大厦 >,网动体育,营业中 08:00-22:00,,,"室外
2个",,,
117,朝阳,拓能壹加网球基地(,西坝河南路3号浩鸿园小区内(南门进入),18270863563,营业中 06:00-22:00,,,"室外
1个",,,
118,朝阳,国家网球中心,,67211557、67211558北京网球管理中心,值得深入研究,,,,没有对应的照片,,
119,朝阳,中体一方网球培训,姚家园路77号,中体一方,营业中 07:00-次日02:00,"有淋浴间
卫生间
无烟环境",,"室外
4个",,,
120,朝阳,网动天地东坝训练基地,网动天地东坝训练基地,网动天地,周一至周日 24小时营业,,,"室外
1个",,,
121,朝阳,奥体网球场,北京市 朝阳区 北四环中路出口与北四环中路交叉口东南180米,国家奥体中心,值得深入研究,,,,没有对应的照片,,
122,朝阳,动之光番茄甜网球场,建国路10号(巴学园幼儿园内),动之光,营业中 06:00-22:00 ,,没接电话,,,,
123,朝阳,XD不被定义体育公园,六里屯路红领巾公园西园运动场>,19520376778,周一至周日 06:00-22:00,,,"室外
4个",,,
124,朝阳,启晨体育网球(奥森店),北辰西路国奥村东区东侧约90米,13011010023,周一至周日 10:00-22:00,,,"室外
2个",,,
125,朝阳,网动天地网球俱乐部,新勇路与顾家庄北大街交叉口西南50米,18001335269,周一至周日 08:00-22:00,"有淋浴间
有卫生间
有储物柜
空调开放
有休息区","室内
3个",,,,
126,朝阳,烁动网球(六里桥丽泽自建校区),西三环六里桥地铁站E口东20米,13716769987,周一至周日 09:00-22:00,,"室内
2个",,,,
127,朝阳,烁动网球(六里桥丽泽自建校区),看丹街道樊羊路51号慧谷国际中心3号楼B1层128号,15611755869,周一至周日 09:00-22:00,,"室内
2个",,,,
128,海淀区,芳草荟网球(长春桥店),厂洼西街18号,13141122614,7:00-23:00,淋浴、休息区、免费停车,0,1,"=DISPIMG(""ID_36FE24467A5C4A8FA5539DCE38DB1CC0"",1)","=DISPIMG(""ID_1D075720F3054AB289A1A5A542524687"",1)","=DISPIMG(""ID_75B56799618F49EB9F269CBC762C0110"",1)"
129,海淀区,灵动网球（世纪金源店）,板井路69号北京世纪金源大饭店,13810886792,08:00-22:00,休息区、饮品售卖,2,0,"=DISPIMG(""ID_B830E9479DAD4178B32FC4B244814971"",1)","=DISPIMG(""ID_EF7E6B92074E4C519C3487ADAF149BFB"",1)","=DISPIMG(""ID_721126B5231644478A653842312568A9"",1)"
130,海淀区,海淀公园网球场,海淀公园足球网球运动场,小程序预约（海淀公园体育中心）,7:00-16:00,公共卫生间、休息长椅,0,10（2片VIP场地）,"=DISPIMG(""ID_1F1EAC4CF489455480C82272B59F31CB"",1)","=DISPIMG(""ID_02A9C4A4CD28465EA8FE57EFA2165E86"",1)","=DISPIMG(""ID_C8DFD1EB40C34A64975A894EC176772B"",1)"
131,海淀区,网动体育 车道沟校区,网动网球公园,小程序预约（网动体育）,8:00-21:30,免费停车、休息区,0,9,"=DISPIMG(""ID_6B257ECA8202413D833E2241E92551BF"",1)","=DISPIMG(""ID_60177CA368AB4DBC8A451095B7DFF577"",1)","=DISPIMG(""ID_F8BD6A1B9B7F498A8C1DB01F4977B23F"",1)"
132,海淀区,艾锐斯网球（知春路）,大成仓艾锐斯体育公园,小程序预约（艾锐斯网球）,9:00-22:00,淋浴、储物柜、饮品区,4,0,"=DISPIMG(""ID_32205DB4994C4F73A4B213AEA400DAA6"",1)","=DISPIMG(""ID_144C58C2C3C14A7B8941E7D2E863766D"",1)","=DISPIMG(""ID_00242C7BE2D04B429A03EC931BB4DA87"",1)"
133,海淀区,北京科技大学求实气膜网球馆,学院路30号科技大学求实气膜网球馆,小程序预约（求实网球馆）,9:00-22:00,淋浴、休息区、免费停车,8,2,"=DISPIMG(""ID_326FEB3FC0CF4DF89CB40792227BF84F"",1)","=DISPIMG(""ID_79E1871AF2634A74B4C3BDEA7663A14B"",1)","=DISPIMG(""ID_7176C341DE5148A89B6B417489FDBE22"",1)"
134,海淀区,烁动网球（五棵松定慧自建店）,定慧产业园区内摄影器材城东侧,小程序预约（烁动网球）17820777721,9:00-22:00,休息区、免费停车,0,2,"=DISPIMG(""ID_ADDA231793694736A83EBF61C188E560"",1)","=DISPIMG(""ID_84C6898A602A45889CA812ABACFDEAA3"",1)","=DISPIMG(""ID_D9ED1D1520954C7D80C8A75C27C3A3A8"",1)"
135,海淀区,魅力飞扬网球俱乐部（中海雅园店）,海淀区板井路69号中海雅园小区内,13520668877,8:30-21:30,休息区、饮品售卖,1,2,"=DISPIMG(""ID_F26796EEE6554A08A39A99ACC884E683"",1)","=DISPIMG(""ID_E1FB6ED8BC0C4370B37DA2AFE3C5E372"",1)","=DISPIMG(""ID_4C6DB19C1DC843318AB9457D1E05EBEE"",1)"
136,海淀区,埃德网球俱乐部（东升汇校区）,海淀区东升镇东升汇体育公园内,13693367789,9:00-22:00,淋浴、储物柜、免费停车,3,5,"=DISPIMG(""ID_9664FBF16F194F0E87ADE5A45A2F18AF"",1)","=DISPIMG(""ID_7EBDFB2CC1884D529A507BEAE2CCD3A0"",1)","=DISPIMG(""ID_E99EA604D97247D69451AD8D716A0518"",1)"
137,海淀区,得乐网球（永定路店）,海淀区永定路88号院,13811889900,8:00-21:00,休息长椅、公共卫生间,0,4,"=DISPIMG(""ID_FC4C3398F22245C89AF25AED72E7C33C"",1)","=DISPIMG(""ID_8044E9D446764B5196E36AB0D807DAAA"",1)","=DISPIMG(""ID_F3484EA2903C4EBEA8703D65684E712D"",1)"
138,海淀区,泰内斯网球俱乐部（五棵松校区）,复兴路69号hipark多功能厅二楼网球场,17800296123,9:00-22:00,淋浴、休息区、饮品售卖 ,0,2,"=DISPIMG(""ID_3AD4DBE0F9264A029D8A494D509998EB"",1)","=DISPIMG(""ID_C6AFA4371A1E4D579284AF459D292288"",1)","=DISPIMG(""ID_AA70CDDEA83D4C97BFF850B685B777DE"",1)"
139,海淀区,YYDS网球俱乐部,海淀区上地十街10号,13718886622,8:30-21:30,免费停车、休息区,1,2,"=DISPIMG(""ID_05550002A3DB4505B8184C0634D88D56"",1)","=DISPIMG(""ID_D75B76DB87E7408EA6F69688F5115FC5"",1)","=DISPIMG(""ID_B4D2858BE3CC49009450967ECB27F00C"",1)"
140,海淀区,绿豆网球俱乐部（泰山店）,海淀区泰山路8号,13488887766,9:00-22:00,储物柜、饮品售卖,0,3,"=DISPIMG(""ID_E8FA807EFA9D48FABF57D0D50964E0E0"",1)","=DISPIMG(""ID_377BF17AB1EC4255BE89694DF957A3F2"",1)","=DISPIMG(""ID_9F5A559DB13346B6855FDEAC52522706"",1)"
141,海淀区,至清网球运动中心,青龙桥街道魔动空间气膜馆,13269998855,6:00-23:00,公共卫生间、休息区,0,4,"=DISPIMG(""ID_4CE0C30570804F8CBDF30041A72890E4"",1)","=DISPIMG(""ID_3FCFEC76018B4A52800AC48529C6B6A8"",1)","=DISPIMG(""ID_53B460D10F0C46929B25982E141616A2"",1)"
142,海淀区,温菲尔德网球俱乐部（田村山馆）,海淀区田村山体育中心内,13120009933,8:00-22:00,淋浴、免费停车、休息区,3,6,"=DISPIMG(""ID_F34FD50A15794BE4BCAFB766068FBBAE"",1)","=DISPIMG(""ID_535A1FF5D5B547ECBCB2BDC3207F56E7"",1)","=DISPIMG(""ID_0C9D27D3311849EBAE73D900A4C1B1C5"",1)"
143,海淀区,网动网球（世纪金源校区）,海淀区板井路世纪金源购物中心北侧,小程序预约（网动体育）,8:00-22:00,休息区、饮品售卖,1,3,"=DISPIMG(""ID_6891B87CC3A04C8C9E06B9C60726C1F5"",1)","=DISPIMG(""ID_8F1C81349B194E77B4B3B97FA50565AD"",1)","=DISPIMG(""ID_2320ACE59FE7422BBC4ADB00E831A452"",1)"
144,海淀区,网动网球（鲁迅文化中心校区）,海淀区花园路鲁迅文化中心内,小程序预约（网动体育）,8:00-22:00,休息长椅、储物柜,0,4,"=DISPIMG(""ID_FF4FD9A433BF4B94B58B4B053F39AAB9"",1)","=DISPIMG(""ID_FBBE981792D2432A956DE7E30244D57E"",1)","=DISPIMG(""ID_D549F8A10FA64ABEA8CD3B3A65C3B076"",1)"
145,海淀区,木叶网球俱乐部,宝盛东路甲3号,13691357207,8:00-22:00,免费停车、饮品区,0,6,"=DISPIMG(""ID_988742640D4F4BD1900563EDB88E7715"",1)","=DISPIMG(""ID_04F9FB7FBCBA443694066A5C21986981"",1)","=DISPIMG(""ID_2A1763A5780A40C0B8408CBB8661A527"",1)"
146,海淀区,迪佳网球俱乐部,万柳中路6号院1号楼,62681313,8:00-22:00,淋浴、储物柜、免费停车,4,0,"=DISPIMG(""ID_F6D9BD089AA64EDB91B55954BAD94DBF"",1)","=DISPIMG(""ID_2BAD22060AF64772A19EE2936BDEBFD1"",1)","=DISPIMG(""ID_FB8619B38AC4435B8DF74B3074EBD9AA"",1)"
147,海淀区,北京曙光时尚网球俱乐部,板井路正福寺19号,13911118877,7:30-21:30,休息区、饮品售卖,0,5,"=DISPIMG(""ID_6E7F498836444A71BBF41D65F5559036"",1)","=DISPIMG(""ID_6C6B9C46E73E4564B2ED44CA08ABBC4D"",1)","=DISPIMG(""ID_CEF5106909C042ED98F2D03FA204A587"",1)"
